id,date,dep_airport,des_airport,airline_id,total
1086,2013-10-01,JFK,CTG,B6,321
1087,2013-05-01,JFK,LOS,W3,318
1088,2013-03-01,EWR,CGN,5X,307
1089,2013-09-01,JFK,CTG,B6,321
1090,2013-01-01,JFK,KWI,KU,312
1091,2013-12-01,EWR,PVR,UA,222
1092,2013-07-01,JFK,GND,DL,305
1093,2013-03-01,JFK,TXL,AB,1097
1094,2013-01-01,JFK,TXL,AB,1097
1095,2013-08-01,JFK,ZRH,DL,3248
1096,2013-05-01,JFK,SJO,LR,1798
1097,2013-10-01,JFK,LIM,LA,1340
1098,2013-07-01,JFK,RUH,SV,261
1099,2013-12-01,JFK,LUX,CV,408
1100,2013-10-01,EWR,CGN,5X,307
1101,2013-02-01,EWR,TXL,UA,1097
1102,2013-12-01,JFK,LIM,LA,1340
1103,2013-11-01,JFK,KIN,OJ,2300
1104,2013-10-01,JFK,ATH,DL,266
1105,2013-11-01,JFK,LUX,CV,408
1106,2013-08-01,EWR,CGN,5X,307
1107,2013-12-01,JFK,RUH,SV,261
1108,2013-06-01,JFK,DKR,DL,316
1109,2013-01-01,JFK,DUS,AB,1465
1110,2013-12-01,LGA,YYZ,QK,34610
1111,2013-06-01,EWR,SJD,UA,403
1112,2013-03-01,JFK,CTG,B6,321
1113,2013-08-01,JFK,SAP,TA,357
1114,2013-10-01,JFK,LHR,KU,20374
1115,2013-08-01,JFK,SNN,EI,1749
1116,2013-08-01,JFK,LOS,W3,318
1117,2013-01-01,JFK,LOS,W3,318
1118,2013-08-01,JFK,LUX,CV,408
1119,2013-06-01,JFK,AGP,DL,110
1120,2013-08-01,EWR,SJD,UA,403
1121,2013-07-01,JFK,LRM,B6,236
1122,2013-10-01,JFK,OSL,DY,1453
1123,2013-12-01,JFK,KIN,OJ,2300
1124,2013-01-01,JFK,JNB,SA,661
1125,2013-01-01,JFK,WAW,LO,725
1126,2013-08-01,JFK,GCM,B6,788
1127,2013-10-01,JFK,MAD,UX,3671
