name,airline_id,origin_country,active
Worldspan,1P,United States,N
XL Airways France,SE,France,Y
Xiamen Airlines,MF,China,Y
Xtra Airways,XP,United States,N
Yamal Airlines,YL,Russia,Y
Yangtze River Express,Y8,China,N
Yemenia,IY,Yemen,Y
Zambian Airways,Q3,Zambia,N
Zip,3J,Canada,N
Zimex Aviation,C4,Switzerland,N
Zoom Airlines,Z4,Canada,Y
Tyrolean Airways,\N,\N,Y
buzz,UK,\N,N
Sky Express,XW,Russia,Y
Yellow Air Taxi,Y0,United States,N
Air Mandalay,6T,Burma,Y
TUI Airlines Belgium,TB,Belgium,N
Braathens,BU,Norway,N
Globus,GH,Russia,Y
Air Kazakhstan,9Y,Kazakhstan,Y
Japan Air System,JD,Japan,Y
Annsett New Zealand (NZA),ZQ,New Zealand,N
EasyJet (DS),DS,Switzerland,Y
Star Peru (2I),2I,Peru,Y
Carnival Air Lines,KW,United States,Y
United Airways,4H,Bangladesh,Y
Trans Maldivian Airways,M8,Maldives,N
Fly540,5H,Kenya,Y
Island Air (WP),WP,United States,Y
1-2-go,OG,Thailand,N
Uni Air,B7,Taiwan,Y
Gomelavia,YD,Belarus,Y
Red Wings,WZ,Russia,Y
TUIfly (X3),11,Germany,Y
Felix Airways,FU,Yemen,Y
Kostromskie avialinii,K1,Russia,Y
Greenfly,XX,Spain,Y
Tajik Air,7J,Tajikistan,Y
Air Mozambique,TM,Mozambique,Y
ELK Airways,--,Estonia,Y
Virgin Pacific,VH,Fiji,Y
Zest Air,Z2,Philippines,Y
Air Arabia Maroc,3O,Morocco,Y
Baltic Air lines,B1,Latvia,Y
Ciel Canadien,YC,Canada,Y
Air Comet Chile,3I,Chile,Y
Nazca,-.,Peru,N
Voronezhskie Airlanes,DN,Russia,N
Illinois Airways,IL,United States,N
Salzburg arrows,SZ,Austria,Y
California Western,KT,United States,N
Zz,ZZ,Belgium,Y
Atifly,A1,United States,Y
Suckling Airways,CB,United Kingdom,N
Reno Sky,RY,United States,N
Ciao Air,99,Italy,Y
Birmingham European,VB,United Kingdom,N
Pal airlines,5P,Chile,Y
CanXpress,C1,Canada,Y
CanXplorer,C2,Canada,Y
Click (Mexicana),QA,Mexico,Y
World Experience Airline,W1,Canada,Y
Air Choice One,3E,United States,Y
China United,KN,China,Y
Safi Airlines,4Q,Afghanistan,Y
Bobb Air Freight,1,Germany,Y
Pelita,6D,Indonesia,Y
Alaska Seaplane Service,J5,United States,Y
TAN,T8,Argentina,N
TACA Peru,T0,Peru,Y
Pan Am World Airways Dominicana,7Q,Dominican Republic,Y
VIP Ecuador,V6,Ecuador,Y
Polar Airlines,ЯП,Russia,Y
