index,year,dep_airport,des_airport,alid,airline_id,dom_fgn,scheduled,chartered,total
3001,2019,EWR,SNN,19977,UA,1,61,0,61
3002,2019,EWR,SAL,19574,TA,0,61,0,61
3003,2019,EWR,POS,19977,UA,1,61,0,61
3004,2019,JFK,GYE,20348,XL,0,61,0,61
3005,2019,JFK,GCM,20409,B6,1,61,0,61
3006,2019,EWR,BDA,19977,UA,1,61,0,61
3007,2019,EWR,BOG,19977,UA,1,61,0,61
3008,2019,EWR,FCO,21579,DY,0,61,0,61
3009,2019,EWR,FRA,19977,UA,1,61,0,61
3010,2019,EWR,LHR,19682,VS,0,61,0,61
3011,2019,JFK,DUB,19790,DL,1,61,0,61
3012,2019,JFK,SCL,19552,LA,0,61,0,61
3013,2019,EWR,NRT,19977,UA,1,61,0,61
3014,2019,JFK,BRU,19790,DL,1,61,0,61
3015,2019,EWR,MAD,19977,UA,1,61,0,61
3016,2019,EWR,MBJ,19977,UA,1,61,0,61
3017,2019,JFK,BCN,19805,AA,1,61,0,61
3018,2019,JFK,BCN,19790,DL,1,61,0,61
3019,2019,JFK,HAV,20409,B6,1,61,0,61
3020,2019,EWR,NRT,19977,UA,1,61,0,61
3021,2019,JFK,GYE,20348,XL,0,61,0,61
3022,2019,EWR,PEK,19977,UA,1,61,0,61
3023,2019,EWR,PLS,19977,UA,1,61,0,61
3024,2019,EWR,PVG,19977,UA,1,61,0,61
3025,2019,EWR,EDI,19977,UA,1,61,0,61
3026,2019,JFK,GVA,20233,LX,0,61,0,61
3027,2019,EWR,YQB,20445,C5,1,61,0,61
3028,2019,EWR,STI,19977,UA,1,61,0,61
3029,2019,EWR,STI,20409,B6,1,61,0,61
3030,2019,EWR,NAS,19977,UA,1,61,0,61
3031,2019,EWR,VCE,19977,UA,1,61,0,61
3032,2019,EWR,NAP,19977,UA,1,61,0,61
3033,2019,JFK,EZE,19805,AA,1,61,0,61
3034,2019,EWR,YVR,19531,AC,0,61,0,61
3035,2019,JFK,AUH,21107,EY,0,61,1,62
3036,2019,EWR,LIS,19576,TP,0,61,0,61
3037,2019,JFK,TXL,19790,DL,1,61,0,61
3038,2019,EWR,YVR,19531,AC,0,61,0,61
3039,2019,EWR,KEF,19977,UA,1,61,0,61
3040,2019,EWR,YUL,20445,C5,1,61,0,61
3041,2019,EWR,GLA,19977,UA,1,61,0,61
3042,2019,EWR,TXL,19977,UA,1,61,0,61
3043,2019,EWR,FRA,19977,UA,1,61,0,61
3044,2019,EWR,FCO,19977,UA,1,61,0,61
3045,2019,EWR,STI,19977,UA,1,61,0,61
3046,2019,JFK,SNN,19790,DL,1,61,0,61
3047,2019,EWR,SDQ,20409,B6,1,61,0,61
3048,2019,EWR,PEK,19977,UA,1,61,0,61
3049,2019,EWR,NRT,19977,UA,1,61,0,61
3050,2019,EWR,PTY,19977,UA,1,61,0,61
3051,2019,EWR,SAL,19574,TA,0,61,0,61
3052,2019,EWR,SNN,19977,UA,1,61,0,61
3053,2019,JFK,GVA,20233,LX,0,61,0,61
3054,2019,JFK,SCL,19552,LA,0,61,0,61
3055,2019,EWR,CDG,19977,UA,1,61,0,61
3056,2019,EWR,MUC,19554,LH,0,61,0,61
3057,2019,EWR,EZE,19977,UA,1,61,0,61
3058,2019,EWR,FRA,19977,UA,1,61,0,61
3059,2019,EWR,BRU,19977,UA,1,61,0,61
3060,2019,EWR,MAD,19977,UA,1,61,0,61
3061,2019,EWR,LIS,19977,UA,1,61,0,61
3062,2019,EWR,MAN,19977,UA,1,61,0,61
3063,2019,EWR,ARN,19571,SK,0,61,0,61
3064,2019,JFK,POP,20409,B6,1,61,0,61
3065,2019,EWR,HAV,20452,YX,1,61,0,61
3066,2019,EWR,EDI,19977,UA,1,61,0,61
3067,2019,EWR,BRU,19977,UA,1,61,0,61
3068,2019,EWR,ATH,19977,UA,1,61,0,61
3069,2020,JFK,ZRH,19790,DL,1,61,0,61
3070,2019,EWR,YYC,19531,AC,0,61,0,61
3071,2019,JFK,KIN,19790,DL,1,61,0,61
3072,2019,EWR,YUL,20366,EV,1,61,0,61
3073,2019,JFK,MXP,19805,AA,1,61,0,61
3074,2019,JFK,MXP,19790,DL,1,61,0,61
3075,2019,EWR,SIN,19572,SQ,0,61,0,61
3076,2019,JFK,MTY,20250,5D,0,61,0,61
3077,2019,EWR,SAL,19574,TA,0,61,0,61
3078,2019,EWR,PVG,19977,UA,1,61,0,61
3079,2019,EWR,PEK,19977,UA,1,61,0,61
3080,2019,JFK,MEX,21342,VB,0,61,0,61
3081,2019,JFK,MEX,19790,DL,1,61,0,61
3082,2019,EWR,PEK,19977,UA,1,61,0,61
3083,2019,EWR,HAV,20452,YX,1,61,0,61
3084,2019,EWR,HKG,19977,UA,1,61,0,61
3085,2019,EWR,FRA,19977,UA,1,61,0,61
3086,2019,EWR,BRU,19977,UA,1,61,0,61
3087,2019,EWR,EDI,19977,UA,1,61,0,61
3088,2019,EWR,DUB,19977,UA,1,61,0,61
3089,2019,EWR,DEL,19977,UA,1,61,0,61
3090,2020,JFK,NRT,19548,JL,0,61,0,61
3091,2020,JFK,MEX,21342,VB,0,61,0,61
3092,2019,JFK,ATH,19790,DL,1,61,0,61
3093,2020,JFK,MBJ,19805,AA,1,61,0,61
3094,2020,JFK,GYE,20409,B6,1,61,0,61
3095,2020,JFK,FRA,19790,DL,1,61,0,61
3096,2019,JFK,MBJ,19790,DL,1,61,0,61
3097,2019,JFK,EZE,19805,AA,1,61,0,61
3098,2020,JFK,DUB,19790,DL,1,61,0,61
3099,2019,JFK,HEL,19538,AY,0,61,0,61
3100,2019,JFK,LIS,19790,DL,1,61,0,61
3101,2019,JFK,UVF,20409,B6,1,61,0,61
3102,2019,JFK,LIS,19576,TP,0,61,0,61
3103,2019,JFK,MTY,20250,5D,0,61,0,61
3104,2020,EWR,ZRH,19977,UA,1,61,0,61
3105,2019,JFK,MEX,20409,B6,1,61,0,61
3106,2019,JFK,SAL,19556,LR,0,61,0,61
3107,2020,EWR,YVR,19531,AC,0,61,0,61
3108,2019,JFK,PUJ,20409,B6,1,61,0,61
3109,2020,EWR,SXM,19977,UA,1,61,0,61
3110,2020,EWR,SDQ,20416,NK,1,61,0,61
3111,2019,JFK,ORY,19532,AF,0,61,0,61
3112,2020,EWR,MUC,19554,LH,0,61,0,61
3113,2019,JFK,MXP,19790,DL,1,61,0,61
3114,2019,JFK,MEX,20409,B6,1,61,0,61
3115,2019,JFK,MDE,19537,AV,0,61,0,61
3116,2019,JFK,MBJ,19790,DL,1,61,0,61
3117,2019,JFK,LIS,19576,TP,0,61,0,61
3118,2019,JFK,KEF,19546,FI,0,61,0,61
3119,2019,JFK,HAV,20409,B6,1,61,0,61
3120,2019,JFK,VCE,19790,DL,1,61,0,61
3121,2019,JFK,UVF,20409,B6,1,61,0,61
3122,2020,EWR,EDI,19977,UA,1,61,0,61
3123,2020,EWR,DUB,19977,UA,1,61,0,61
3124,2020,EWR,DUB,19623,EI,0,61,0,61
3125,2020,EWR,ARN,19571,SK,0,61,0,61
3126,2019,JFK,SAL,19574,TA,0,61,0,61
3127,2019,JFK,FRA,19790,DL,1,61,0,61
3128,2020,EWR,FRA,19977,UA,1,62,12,74
3129,2019,EWR,ZRH,20233,LX,0,62,0,62
