airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt
5Y,JFK,CMN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,712,Mohammed V International Airport,Casablanca,Morocco,CMN,33.36750031,-7.589970112,656
X9,JFK,POS,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2322,Piarco International Airport,Port-of-spain,Trinidad and Tobago,POS,10.59539986,-61.33720016,58
GL,JFK,SKB,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,187,Robert L. Bradshaw International Airport,Basse Terre,Saint Kitts and Nevis,SKB,17.31119919,-62.71870041,170
GL,EWR,YQY,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798,203
5Y,JFK,GEO,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,538,Cheddi Jagan International Airport,Georgetown,Guyana,GEO,6.498549938,-58.2541008,95
5Y,JFK,MVD,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,Carrasco International /General C L Berisso Airport,Montevideo,Uruguay,MVD,-34.838402,-56.0308,105
EZ,JFK,YMX,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,51,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696,270
5Y,JFK,TRN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Turin Airport,Torino,Italy,TRN,45.200802,7.64963,989
DL,LGA,YYZ,La Guardia Airport,New York,United States,40.77719879,-73.87259674,34610,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998,569
5Y,EWR,FOR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Pinto Martins International Airport,Fortaleza,Brazil,FOR,-3.776279926,-38.5326004,82
LA,EWR,SCL,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,742,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,SCL,-33.39300156,-70.78579712,1555
UA,EWR,YYT,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,700,St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972,461
DL,JFK,KIN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2300,Norman Manley International Airport,Kingston,Jamaica,KIN,17.93569946,-76.78749847,10
LH,JFK,CGN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,307,Cologne Bonn Airport,Cologne,Germany,CGN,50.86589813,7.142739773,302
DL,JFK,SNN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1749,Shannon Airport,Shannon,Ireland,SNN,52.702,-8.92482,46
AA,JFK,SNN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1749,Shannon Airport,Shannon,Ireland,SNN,52.702,-8.92482,46
UA,EWR,BJX,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2,Del Bajío International Airport,Del Bajio,Mexico,BJX,20.9935,-101.481003,5956
UA,EWR,YJT,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,3,Stephenville Airport,Stephenville,Canada,YJT,48.5442009,-58.54999924,84
QK,LGA,YUL,La Guardia Airport,New York,United States,40.77719879,-73.87259674,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118
DL,JFK,NGO,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Chubu Centrair International Airport,Nagoya,Japan,NGO,34.85839844,136.8049927,15
FX,EWR,YYZ,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,34610,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998,569
SV,JFK,OST,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,7,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.19889832,2.862220049,13
UA,EWR,YQM,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,715,Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169,-64.6785965,232
IB,JFK,REC,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,-8.126489639,-34.92359924,33
